"Incident_Id","Incident Date","city-county","killed","injured"
2211959,"2022-01-15","Houston",1,0
2211996,"2022-01-15","Corpus Christi",1,0
2211998,"2022-01-15","Houston",1,1
2212106,"2022-01-15","Fort Worth",1,0
2212114,"2022-01-15","New Caney",1,0
2212121,"2022-01-15","San Antonio",1,0
2212125,"2022-01-15","San Antonio",0,1
2212389,"2022-01-15","Colleyville",1,0
2212756,"2022-01-16","Houston",0,3
2212955,"2022-01-16","Fort Worth",1,3
2212964,"2022-01-16","Corpus Christi",1,0
2213113,"2022-01-16","San Antonio",0,1
2213116,"2022-01-16","San Angelo",0,1
2213119,"2022-01-17","Houston",0,2
2213124,"2022-01-17","Houston",1,0
2213127,"2022-01-16","Houston",0,1
2213221,"2022-01-17","Houston",2,0
2213267,"2022-01-17","Houston",1,0
2213341,"2022-01-17","Dallas",0,1
2213345,"2022-01-16","Dallas",0,1
2213354,"2022-01-16","Longview",1,0
2213360,"2022-01-14","Texarkana",0,1
2213365,"2022-01-15","Houston",1,0
2213440,"2022-01-16","San Antonio",1,0
2213445,"2022-01-17","San Antonio",0,1
2213449,"2022-01-17","Houston",1,0
2213528,"2022-01-17","Justin",0,2
2213707,"2022-01-17","Houston",0,3
2213764,"2022-01-17","Houston",1,0
2213773,"2022-01-17","Humble (Atascocita)",1,0
2214050,"2022-01-17","Harker Heights",1,0
2214075,"2022-01-15","Wilsey",2,0
2214082,"2022-01-18","Austin",1,0
2214153,"2022-01-18","Killeen",0,1
2214195,"2022-01-17","Dallas",2,1
2214199,"2022-01-17","Dallas",1,0
2214223,"2022-01-16","El Paso",1,0
2214262,"2022-01-15","Houston",0,1
2214268,"2022-01-17","Houston",1,0
2214298,"2022-01-16","Houston",0,1
2214303,"2022-01-16","Houston",1,0
2214306,"2022-01-17","San Antonio",1,4
2214316,"2022-01-18","Houston",1,0
2214319,"2022-01-17","Houston",2,0
2214328,"2022-01-17","Houston",1,1
2214347,"2022-01-18","Missouri City",1,0
2214552,"2022-01-06","Killeen",0,1
2214558,"2022-01-17","Copperas Cove",0,1
2214575,"2022-01-14","Lubbock",0,1
2214592,"2022-01-18","San Antonio",0,1
2214599,"2022-01-18","San Antonio",0,1
